income_bound_l,income_bound_r,educ_bound_l,educ_bound_r,age_bound_l,age_bound_r,value
5.0,6.0,4.0,5.0,30.0,35.0,1
6.0,7.0,1.0,2.0,55.0,60.0,6
6.0,7.0,11.0,12.0,45.0,50.0,13
10.0,11.0,12.0,13.0,85.0,90.0,32
0.0,1.0,2.0,3.0,50.0,55.0,19
6.0,7.0,7.0,8.0,80.0,85.0,3
4.0,5.0,13.0,14.0,20.0,25.0,6
3.0,4.0,4.0,5.0,40.0,45.0,1
4.0,5.0,5.0,6.0,55.0,60.0,1
3.0,4.0,13.0,14.0,40.0,45.0,1
6.0,7.0,11.0,12.0,85.0,90.0,1
6.0,7.0,8.0,9.0,90.0,95.0,1
6.0,7.0,2.0,3.0,25.0,30.0,1
9.0,10.0,4.0,5.0,25.0,30.0,78
6.0,7.0,3.0,4.0,40.0,45.0,5
3.0,4.0,9.0,10.0,40.0,45.0,2
0.0,1.0,14.0,15.0,90.0,95.0,3
0.0,1.0,10.0,11.0,65.0,70.0,19
10.0,11.0,16.0,17.000000100000001,60.0,65.0,79
11.0,12.000000099999999,12.0,13.0,20.0,25.0,5
10.0,11.0,16.0,17.000000100000001,45.0,50.0,146
0.0,1.0,9.0,10.0,60.0,65.0,369
2.0,3.0,11.0,12.0,15.0,20.0,1
2.0,3.0,9.0,10.0,55.0,60.0,3
5.0,6.0,13.0,14.0,45.0,50.0,6
10.0,11.0,12.0,13.0,20.0,25.0,254
0.0,1.0,3.0,4.0,65.0,70.0,20
4.0,5.0,1.0,2.0,25.0,30.0,1
7.0,8.0,16.0,17.000000100000001,35.0,40.0,1
10.0,11.0,11.0,12.0,15.0,20.0,24
1.0,2.0,14.0,15.0,45.0,50.0,2
0.0,1.0,13.0,14.0,45.0,50.0,236
10.0,11.0,15.0,16.0,45.0,50.0,206
11.0,12.000000099999999,11.0,12.0,15.0,20.0,6
7.0,8.0,15.0,16.0,50.0,55.0,3
8.0,9.0,7.0,8.0,35.0,40.0,65
10.0,11.0,13.0,14.0,65.0,70.0,519
11.0,12.000000099999999,15.0,16.0,25.0,30.0,75
11.0,12.000000099999999,6.0,7.0,40.0,45.0,15
8.0,9.0,14.0,15.0,20.0,25.0,32
11.0,12.000000099999999,13.0,14.0,90.0,95.0,16
2.0,3.0,5.0,6.0,35.0,40.0,1
11.0,12.000000099999999,16.0,17.000000100000001,45.0,50.0,286
6.0,7.0,7.0,8.0,30.0,35.0,6
6.0,7.0,3.0,4.0,60.0,65.0,6
5.0,6.0,11.0,12.0,20.0,25.0,54
6.0,7.0,7.0,8.0,35.0,40.0,4
0.0,1.0,13.0,14.0,85.0,90.0,20
9.0,10.0,14.0,15.0,40.0,45.0,232
10.0,11.0,5.0,6.0,90.0,95.0,8
6.0,7.0,16.0,17.000000100000001,70.0,75.0,1
1.0,2.0,14.0,15.0,35.0,40.0,1
6.0,7.0,9.0,10.0,20.0,25.0,107
3.0,4.0,9.0,10.0,35.0,40.0,2
10.0,11.0,2.0,3.0,55.0,60.0,47
8.0,9.0,12.0,13.0,25.0,30.0,102
5.0,6.0,9.0,10.0,15.0,20.0,38
5.0,6.0,8.0,9.0,55.0,60.0,4
8.0,9.0,7.0,8.0,45.0,50.0,46
6.0,7.0,16.0,17.000000100000001,35.0,40.0,4
8.0,9.0,2.0,3.0,80.0,85.0,28
7.0,8.0,16.0,17.000000100000001,40.0,45.0,1
3.0,4.0,14.0,15.0,45.0,50.0,1
9.0,10.0,1.0,2.0,55.0,60.0,71
6.0,7.0,7.0,8.0,20.0,25.0,8
4.0,5.0,10.0,11.0,15.0,20.0,3
9.0,10.0,6.0,7.0,65.0,70.0,211
9.0,10.0,5.0,6.0,90.0,95.0,67
8.0,9.0,16.0,17.000000100000001,65.0,70.0,9
7.0,8.0,4.0,5.0,75.0,80.0,6
